,type_true,R_MUC,P_MUC,F1_MUC,R_B3,P_B3,F1_B3,R_CEAF_E,P_CEAF_E,F1_CEAF_E,F1_CONLL,Support,step,config
gDUcV4hy7jpfaBenEkD3ur,MISC,0.613186813,0.292146597,0.395744681,0.225055371,0.29873322,0.25671241,0.372778498,0.03467707,0.063451659,0.23863625,471,step4,NewsWCL_2019_annotated_multi_doc_tca_default_glove
bsiGvMhwNF3QDptjsDRqKa,OBJECT,0.831408776,0.630472855,0.717131474,0.492845001,0.507713548,0.5001688,0.570637998,0.102422205,0.173672434,0.463657569,447,step4,NewsWCL_2019_annotated_multi_doc_tca_default_glove
7sqkfQ4NXnnwjnLeYYT82w,ACTION,0.643478261,0.161925602,0.258741259,0.234881823,0.139106746,0.174730721,0.399572218,0.046461886,0.083244212,0.172238731,120,step5,NewsWCL_2019_annotated_multi_doc_tca_default_glove
C2a4EPWmXDg5UB22uYuK8c,ACTOR,0.906701708,0.646067416,0.754510662,0.744332318,0.596418043,0.66221608,0.793081145,0.339891919,0.475848687,0.630858476,797,step5,NewsWCL_2019_annotated_multi_doc_tca_default_glove
Z6EoX58UtgjzqdeWAoFUuP,COUNTRY,0.731046931,0.404191617,0.520565553,0.281899731,0.301860435,0.291538821,0.411791806,0.072385278,0.123127118,0.311743831,1153,step5,NewsWCL_2019_annotated_multi_doc_tca_default_glove
a6reMZmZepSFcKTAj6XpP5,EVENT,0.755844156,0.4092827,0.531021898,0.476990016,0.28466038,0.356541952,0.468367138,0.104635212,0.171055824,0.352873225,406,step5,NewsWCL_2019_annotated_multi_doc_tca_default_glove
6AJk7ynfRNzi4gTZg2BN2V,GROUP,0.802469136,0.436827957,0.565709312,0.364516528,0.284227146,0.319403476,0.411685763,0.071597524,0.121980967,0.335697919,417,step5,NewsWCL_2019_annotated_multi_doc_tca_default_glove
gDUcV4hy7jpfaBenEkD3ur,MISC,0.613186813,0.292146597,0.395744681,0.225055371,0.29873322,0.25671241,0.372778498,0.03467707,0.063451659,0.23863625,471,step5,NewsWCL_2019_annotated_multi_doc_tca_default_glove
bsiGvMhwNF3QDptjsDRqKa,OBJECT,0.831408776,0.630472855,0.717131474,0.492845001,0.507713548,0.5001688,0.570637998,0.102422205,0.173672434,0.463657569,447,step5,NewsWCL_2019_annotated_multi_doc_tca_default_glove
WEgwX4S4x5LBg9wzmNiRPz,ACTION,0,0,0,0.041666667,0.987603306,0.079959853,0.088623855,0.003692661,0.007089908,0.029016587,120,init,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
GjJpqyp7fPoCMC5J7KY2j4,ACTOR,0.657030223,0.945179584,0.775193798,0.458698443,0.948375664,0.618330532,0.701549862,0.087999286,0.156382632,0.516635654,797,init,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
PTrooKLdRTzaXS7TXgPMZk,COUNTRY,0.268050542,0.72972973,0.392079208,0.107105049,0.889796049,0.191195796,0.466756106,0.026189557,0.04959628,0.210957095,1153,init,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
WkCzChgMCnGgpnpoJC3CJr,EVENT,0.14025974,0.75,0.236323851,0.086316788,0.932729469,0.158010907,0.292595792,0.017966408,0.033854059,0.142729606,406,init,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
