,dataset,origin_type,coref_strategy,identification_method,parameters,wordvectors,index,time,mentions_num,avg_time,config
3,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,3_DemocratsSueRUTrump,405.763459,570,0.711865717,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
4,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,4_TrumpDealIran,268.0002609,336,0.797619824,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
5,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,5_TrumpVisitUnitedKingdom,192.0455887,279,0.688335443,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
6,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,6_Asylum-SeekingMigrantCaravan,284.9605743,386,0.73823983,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
7,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,7_TrumpDelaysTariff,227.5616581,350,0.650176166,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
8,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,8_MuellerQuestionsTrump,226.9031273,315,0.720327388,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
9,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,9_Iranfiles,209.0395108,311,0.672152768,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
0,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,0_CIADirectorMikePompeoMeetingNorthKorea,343.5411141,392,0.876380393,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
1,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,1_ComeyMemo,255.9679354,361,0.709052453,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
2,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,2_NorthKoreaNuclearStopAnnouncement,261.7445667,417,0.627684812,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
3,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,3_DemocratsSueRUTrump,408.304413,570,0.716323532,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
4,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,4_TrumpDealIran,269.0323059,336,0.800691387,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
5,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,5_TrumpVisitUnitedKingdom,193.5615847,279,0.693769121,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
6,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,6_Asylum-SeekingMigrantCaravan,286.4184303,386,0.742016659,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
7,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,7_TrumpDelaysTariff,228.7310851,350,0.653517386,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
8,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,8_MuellerQuestionsTrump,227.0976253,315,0.720944842,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
9,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,9_Iranfiles,210.8709218,311,0.678041549,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
0,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,0_CIADirectorMikePompeoMeetingNorthKorea,3.780366112,515,0.007340517,NewsWCL_2019_annotated_no_coref_lemma_default_not_specified
1,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,1_ComeyMemo,4.211618695,528,0.007976551,NewsWCL_2019_annotated_no_coref_lemma_default_not_specified
